source,test_type,df1,df2,test_comp,test_value,p_comp,reported_p,computed_p,raw,error,decision_error,one_tailed_in_txt,apa_factor,sourceFile,year,journal
2001-00-LaS-bortfeld-et-al-2001-disfluency-rates-in-conversation-effects-of-age-relationship-topic-role-and-gender.pdf,t,NA,82,=,1.94,<,0.05,0.0558173272969532,"t (82)= 1.94, p < .05",TRUE,TRUE,FALSE,0.89,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LaS/2001-00-LaS-bortfeld-et-al-2001-disfluency-rates-in-conversation-effects-of-age-relationship-topic-role-and-gender.pdf,2001,LaS
2001-87-SLH-throneburg-yairi-2001-durational-proportionate-and-absolute-frequency-characteristics-of-disfluencies.pdf,F,3,16,=,0.542,=,0.005,0.660441486938073,"F(3, 16) = .542, p = .005",TRUE,TRUE,FALSE,0.79,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2001-87-SLH-throneburg-yairi-2001-durational-proportionate-and-absolute-frequency-characteristics-of-disfluencies.pdf,2001,SLH
2001-12-LSP-pedlow-et-al-2001-children-s-production-and-comprehension-of-politeness-in-requests-relationships-to-behavioral.pdf,Chi2,22,NA,=,36.72,=,0.27,0.0253842042962068,"c2(22) = 36.72, p = .27",TRUE,TRUE,TRUE,0.44,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LSP/2001-12-LSP-pedlow-et-al-2001-children-s-production-and-comprehension-of-politeness-in-requests-relationships-to-behavioral.pdf,2001,LSP
2001-19-APS-S0142716401003083a.pdf,r,NA,67,=,0.08,<,0.05,0.51347378790195,"r(67) = .08, p < .05",TRUE,TRUE,TRUE,0.39,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2001-19-APS-S0142716401003083a.pdf,2001,APS
2001-25-SLH-ezrati-vinacour-levin-2001-time-estimation-by-adults-who-stutter.pdf,F,1,92,=,3.79,<,0.05,0.0546100698469702,"F(1, 92) = 3.79, p < .05",TRUE,TRUE,FALSE,0.89,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2001-25-SLH-ezrati-vinacour-levin-2001-time-estimation-by-adults-who-stutter.pdf,2001,SLH
2001-01-JPR-A_1005208308278.pdf,F,1,46,=,3.84,<,0.05,0.0561191363723658,"F(1,46) = 3.84, p < .05",TRUE,TRUE,FALSE,0.48,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JPR/2001-01-JPR-A_1005208308278.pdf,2001,JPR
2001-37-JML-Recognition-of-Facial-Prototypes--The-Importance-of-Ca_2001_Journal-of-Memor.pdf,t,NA,34,=,1.7,<,0.05,0.0982630521071831,"t(34) = 1.70, p < .05",TRUE,TRUE,TRUE,0.22,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JML/2001-37-JML-Recognition-of-Facial-Prototypes--The-Importance-of-Ca_2001_Journal-of-Memor.pdf,2001,JML
2001-03-APS-S0142716401001047a.pdf,t,NA,10,=,2.16,=,0.05,0.0561095357716351,"t(10) = 2.16, p = .05",TRUE,TRUE,FALSE,0.93,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2001-03-APS-S0142716401001047a.pdf,2001,APS
2002-01-APS-S0142716402000024a.pdf,F,1,19,=,1.539,<,0.05,0.229867877915051,"F(1,19) = 1.539, p < .05",TRUE,TRUE,FALSE,0.5,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2002-01-APS-S0142716402000024a.pdf,2002,APS
2002-50-SLH-mcgregor-et-al-2002-semantic-representation-and-naming-in-children-with-specific-language-impairment.pdf,t,NA,34,=,1.7,<,0.001,0.0982630521071831,"t (34) = 1.7,p < .001",TRUE,TRUE,FALSE,0.57,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2002-50-SLH-mcgregor-et-al-2002-semantic-representation-and-naming-in-children-with-specific-language-impairment.pdf,2002,SLH
2002-01-LLT-06_01_deridder.pdf,F,1,58,=,1.576,<,0.05,0.21437213620362,"F (1,58)=1.576, p <.05",TRUE,TRUE,FALSE,1,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LLT/2002-01-LLT-06_01_deridder.pdf,2002,LLT
2002-86-SLH-van-lieshout-et-al-2002-the-dynamics-of-interlip-coupling-in-speakers-with-a-repaired-unilateral-cleft-lip-history.pdf,F,1,11,=,3.7,<,0.05,0.0806668653477383,"F(1, 11) = 3.70, p < .05",TRUE,TRUE,TRUE,0.55,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2002-86-SLH-van-lieshout-et-al-2002-the-dynamics-of-interlip-coupling-in-speakers-with-a-repaired-unilateral-cleft-lip-history.pdf,2002,SLH
2002-04-LLT-06_01_nikolova.pdf,F,1,52,=,504,=,0.485,2.02529842640244e-28,"F (1,52) = 504,p = .485",TRUE,TRUE,FALSE,0.67,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LLT/2002-04-LLT-06_01_nikolova.pdf,2002,LLT
2002-02-LaS-cooper-et-al-2002-constraints-of-lexical-stress-on-lexical-access-in-english-evidence-from-native-and-non-native.pdf,Chi2,41,NA,=,4.57,<,0.001,0.999999999999766,"2 (41) = 4.57, p < .001",TRUE,TRUE,FALSE,0.28,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LaS/2002-02-LaS-cooper-et-al-2002-constraints-of-lexical-stress-on-lexical-access-in-english-evidence-from-native-and-non-native.pdf,2002,LaS
2002-18-LSP-ter-doest-et-al-2002-linguistic-context-and-social-perception-does-stimulus-abstraction-moderate-processing-style.pdf,Z,NA,NA,=,1.76,<,0.05,0.0784078065749653,"Z = 1.76, p < .05",TRUE,TRUE,FALSE,0.73,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LSP/2002-18-LSP-ter-doest-et-al-2002-linguistic-context-and-social-perception-does-stimulus-abstraction-moderate-processing-style.pdf,2002,LSP
2002-00-APS-S0142716402000012a.pdf,F,1,52,=,3.91,<,0.05,0.0533117099570011,"F(1,52) = 3.91, p < .05",TRUE,TRUE,FALSE,0.92,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2002-00-APS-S0142716402000012a.pdf,2002,APS
2002-14-LSP-parton-et-al-2002-employment-interview-outcomes-and-speech-style-effects.pdf,F,1,294,=,3.76,<,0.05,0.0534492288160644,"F(1,294) = 3.76, p < .05",TRUE,TRUE,FALSE,0.8,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LSP/2002-14-LSP-parton-et-al-2002-employment-interview-outcomes-and-speech-style-effects.pdf,2002,LSP
2003-14-SLA-S0272263103000214a.pdf,Chi2,59,NA,=,5.474,<,0.001,1,"L2(59) = 5.474, p < .001",TRUE,TRUE,FALSE,0.28,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLA/2003-14-SLA-S0272263103000214a.pdf,2003,SLA
2003-26-APS-S0142716403000304a.pdf,F,1,3,=,4.23,<,0.05,0.131913268877812,"F (1, 3) = 4.23, p < .05",TRUE,TRUE,FALSE,0.42,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2003-26-APS-S0142716403000304a.pdf,2003,APS
2003-08-JCL-S0305000902005524a.pdf,F,1,60,=,0.03,=,0.03,0.863073230392862,"F(1, 60)=0.03, p=0.03",TRUE,TRUE,FALSE,0.67,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JCL/2003-08-JCL-S0305000902005524a.pdf,2003,JCL
2003-21-JCL-S0305000903005671a.pdf,F,1,21,=,4.2,<,0.05,0.0531217532725436,"F(1, 21)=4.20, p<0.05",TRUE,TRUE,TRUE,0.5,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JCL/2003-21-JCL-S0305000903005671a.pdf,2003,JCL
2003-24-APS-S0142716403000286a.pdf,F,1,31,=,3.88,<,0.05,0.0578554954830982,"F (1, 31) = 3.88, p < .05",TRUE,TRUE,FALSE,0.8,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2003-24-APS-S0142716403000286a.pdf,2003,APS
2003-23-APS-S0142716403000274a.pdf,t,NA,10,=,1.85,<,0.05,0.0940451168022561,"t (10) =1.85, p < .05",TRUE,TRUE,TRUE,0.82,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2003-23-APS-S0142716403000274a.pdf,2003,APS
2003-28-SLH-flax-et-al-2003-specific-language-impairment-in-families.pdf,F,1,273,=,3.6,=,0.05,0.0588346775041974,"F(1,273) = 3.6, p = .05",TRUE,TRUE,TRUE,0.92,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2003-28-SLH-flax-et-al-2003-specific-language-impairment-in-families.pdf,2003,SLH
2003-48-SLH-kiran-thompson-2003-the-role-of-semantic-complexity-in-treatment-of-naming-deficits.pdf,Chi2,1,NA,=,3.6,<,0.05,0.0577795711235975,"2(1, N = 49) = 3.6, p < .05",TRUE,TRUE,TRUE,1,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2003-48-SLH-kiran-thompson-2003-the-role-of-semantic-complexity-in-treatment-of-naming-deficits.pdf,2003,SLH
2003-00-APS-S0142716403000018a.pdf,t,NA,60,=,-2.06,>,0.05,0.0437438382422039,"t (60) = -2.06, p > .05",TRUE,TRUE,FALSE,0.96,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2003-00-APS-S0142716403000018a.pdf,2003,APS
2004-54-SLH-mackie-dockrell-2004-the-nature-of-written-language-deficits-in-children-with-sli.pdf,Chi2,11,NA,=,18,=,0.004,0.0815806136928953,"U(11) = 18.00, p = .004",TRUE,TRUE,FALSE,0.6,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2004-54-SLH-mackie-dockrell-2004-the-nature-of-written-language-deficits-in-children-with-sli.pdf,2004,SLH
2004-29-JML-Phonological-phrase-boundaries-constrain-lexical-a_2004_Journal-of-Memory-an.pdf,t,NA,35,=,1.8,<,0.05,0.0804854797683424,"t(35) = 1.8,p < .05",TRUE,TRUE,FALSE,0.9,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JML/2004-29-JML-Phonological-phrase-boundaries-constrain-lexical-a_2004_Journal-of-Memory-an.pdf,2004,JML
2004-05-JML-Automatic-and-controlled-processing-in-sentence-recall_2004_Journal-of-Memor.pdf,t,NA,23,=,2.38,=,0.08,0.0259871086453216,"t(23) = 2.38, p = .08",TRUE,TRUE,FALSE,0.93,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JML/2004-05-JML-Automatic-and-controlled-processing-in-sentence-recall_2004_Journal-of-Memor.pdf,2004,JML
2004-50-SLH-kohnert-windsor-2004-the-search-for-common-ground.pdf,F,3,300,=,2.28,=,0.04,0.0794459664516974,"F(3, 300) = 2.28, p = .04",TRUE,TRUE,FALSE,0.45,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2004-50-SLH-kohnert-windsor-2004-the-search-for-common-ground.pdf,2004,SLH
2004-03-SLH-beverly-williams-2004-present-tense-be-use-in-young-children-with-specific-language-impairment.pdf,t,NA,9,=,-1.939,=,0.042,0.0844447109933622,"t(9) = -1.939, p = .042",TRUE,TRUE,TRUE,0.47,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2004-03-SLH-beverly-williams-2004-present-tense-be-use-in-young-children-with-specific-language-impairment.pdf,2004,SLH
2004-12-LaS-verhoeven-et-al-2004-speech-rate-in-a-pluricentric-language-a-comparison-between-dutch-in-belgium-and-the-netherlands.pdf,F,1,1,=,10.6766,=,0.0014,0.18907114131137,"F (1, 1) = 10.6766, p = .0014",TRUE,TRUE,FALSE,1,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LaS/2004-12-LaS-verhoeven-et-al-2004-speech-rate-in-a-pluricentric-language-a-comparison-between-dutch-in-belgium-and-the-netherlands.pdf,2004,LaS
2004-09-JCL-S0305000903005968a.pdf,F,1,11,=,4.39,<,0.05,0.0600941648196637,"F(1,11)=4.39, p<0.05",TRUE,TRUE,FALSE,0.81,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JCL/2004-09-JCL-S0305000903005968a.pdf,2004,JCL
2004-30-SLH-gray-2004-word-learning-by-preschoolers-with-specific-language-impairment.pdf,Chi2,2,NA,=,40,=,0.2211,2.0611536224385604e-9,"2(2, N = 34) =40.00, p = .2211",TRUE,TRUE,FALSE,0.88,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2004-30-SLH-gray-2004-word-learning-by-preschoolers-with-specific-language-impairment.pdf,2004,SLH
2004-08-BLC-S1366728904001592a.pdf,Z,NA,NA,=,3.7,>,0.05,2.1559946695477e-4,"[z = 3.7,p > .05",TRUE,TRUE,FALSE,0.2,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/BLC/2004-08-BLC-S1366728904001592a.pdf,2004,BLC
2005-87-BAL-Understanding-text-after-severe-closed-head-injury--Assessing-_2005_Brain-an.pdf,t,NA,17,=,0.02,<,0.01,0.984276240712129,"t (17) = .02,p < .01",TRUE,TRUE,FALSE,0.44,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/BAL/2005-87-BAL-Understanding-text-after-severe-closed-head-injury--Assessing-_2005_Brain-an.pdf,2005,BAL
2005-23-SLH-gray-2005-word-learning-by-preschoolers-with-specific-language-impairment.pdf,F,1,23,=,43.11,=,0.1679,1.06450034532414e-6,"F(1, 23) = 43.11, p = .1679",TRUE,TRUE,FALSE,1,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2005-23-SLH-gray-2005-word-learning-by-preschoolers-with-specific-language-impairment.pdf,2005,SLH
2005-09-LSP-forgas-tehani-2005-affective-influences-on-language-use-mood-effects-on-performance-feedback-by-experts-and-novices.pdf,t,NA,19,=,2.08,<,0.05,0.0513031453052235,"t(19) = 2.08, p < .05",TRUE,TRUE,FALSE,0.44,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LSP/2005-09-LSP-forgas-tehani-2005-affective-influences-on-language-use-mood-effects-on-performance-feedback-by-experts-and-novices.pdf,2005,LSP
2005-47-SLH-liiva-cleave-2005-roles-of-initiation-and-responsiveness-in-access-and-participation-for-children-with-specific.pdf,t,NA,13.58,=,1.735,=,0.05,0.105365598459808,"t(13.58) = 1.735, p = .05",TRUE,TRUE,TRUE,0.56,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2005-47-SLH-liiva-cleave-2005-roles-of-initiation-and-responsiveness-in-access-and-participation-for-children-with-specific.pdf,2005,SLH
2005-47-JML-Persuading-and-dissuading-by-conditional-arg_2005_Journal-of-Memory-and-Lang.pdf,t,NA,44,=,1.72,=,0.047,0.0924598645208091,"t (44) = 1.72, p = .047",TRUE,TRUE,TRUE,0.32,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JML/2005-47-JML-Persuading-and-dissuading-by-conditional-arg_2005_Journal-of-Memory-and-Lang.pdf,2005,JML
2005-90-SLH-weismer-et-al-2005-a-functional-magnetic-resonance-imaging-investigation-of-verbal-working-memory-in-adolescents-with.pdf,t,NA,14,=,2.09,=,0.028,0.0553469776696193,"t(14) = 2.09, p = .028",TRUE,TRUE,FALSE,0.8,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2005-90-SLH-weismer-et-al-2005-a-functional-magnetic-resonance-imaging-investigation-of-verbal-working-memory-in-adolescents-with.pdf,2005,SLH
2005-11-JML-Changing-places--A-cross-language-perspective-on-frequ_2005_Journal-of-Memor.pdf,Z,NA,NA,=,1.72,=,0.0428,0.0854324415826579,"(Z = 1.72,p = .0428",TRUE,TRUE,TRUE,0.84,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JML/2005-11-JML-Changing-places--A-cross-language-perspective-on-frequ_2005_Journal-of-Memor.pdf,2005,JML
2005-59-SLH-munson-et-al-2005-lexical-and-phonological-organization-in-children.pdf,F,1,29,=,1.2,<,0.05,0.28233623728607,"F(1, 29) = 1.2,p < .05",TRUE,TRUE,FALSE,0.91,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2005-59-SLH-munson-et-al-2005-lexical-and-phonological-organization-in-children.pdf,2005,SLH
2005-60-SLH-munson-et-al-2005-relationships-between-nonword-repetition-accuracy-and-other-measures-of-linguistic-development-in.pdf,F,1,77,=,3.8,<,0.05,0.0548941458743014,"F(1,77) = 3.8, p < .05",TRUE,TRUE,FALSE,0.58,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2005-60-SLH-munson-et-al-2005-relationships-between-nonword-repetition-accuracy-and-other-measures-of-linguistic-development-in.pdf,2005,SLH
2006-05-JPR-s10936-005-9006-3.pdf,F,1,310,=,1.64,<,0.05,0.201282774791,"F (1, 310) = 1.64, p < 0.05",TRUE,TRUE,FALSE,0.86,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JPR/2006-05-JPR-s10936-005-9006-3.pdf,2006,JPR
2006-04-SLH-archibald-gathercole-2006-nonword-repetition-a-comparison-of-tests.pdf,F,1,32,=,6.96,=,0.533,0.0127636390419131,"F(1, 32) = 6.960,p = .533",TRUE,TRUE,FALSE,0.64,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2006-04-SLH-archibald-gathercole-2006-nonword-repetition-a-comparison-of-tests.pdf,2006,SLH
2006-19-JPR-s10936-006-9021-z.pdf,Z,NA,NA,=,-1.67,=,0.05,0.0949193636058946,"5z = -1.67,p = 0.05",TRUE,TRUE,FALSE,0.23,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JPR/2006-19-JPR-s10936-006-9021-z.pdf,2006,JPR
2006-58-SLH-newman-mcgregor-2006-teachers-and-laypersons-discern-quality-differences-between-narratives-produced-by-children-with.pdf,F,1,184,=,3.86,<,0.005,0.050955940083194,"F(1, 184) = 3.86, p < .005",TRUE,TRUE,FALSE,0.8,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2006-58-SLH-newman-mcgregor-2006-teachers-and-laypersons-discern-quality-differences-between-narratives-produced-by-children-with.pdf,2006,SLH
2006-24-SLH-gray-2006-the-relationship-between-phonological-memory-receptive-vocabulary-and-fast-mapping-in-young-children-with.pdf,F,3,7,=,3.63,=,0.0156,0.0726794984834882,"F(3, 7) = 3.63, p = .0156",TRUE,TRUE,FALSE,0.8,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2006-24-SLH-gray-2006-the-relationship-between-phonological-memory-receptive-vocabulary-and-fast-mapping-in-young-children-with.pdf,2006,SLH
2006-59-SLH-oetting-garrity-2006-variation-within-dialects-a-case-of-cajun-creole-influence-within-child-saae-and-swe.pdf,Chi2,93,NA,=,10.36,=,0.001,1,"c2(93) =10.36, p = .001",TRUE,TRUE,FALSE,0.78,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2006-59-SLH-oetting-garrity-2006-variation-within-dialects-a-case-of-cajun-creole-influence-within-child-saae-and-swe.pdf,2006,SLH
2006-54-SLH-miller-et-al-2006-response-time-in-14-year-olds-with-language-impairment.pdf,Z,NA,NA,=,1.87,<,0.05,0.0614838178589319,"(z = 1.87, p < .05",TRUE,TRUE,FALSE,0.37,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2006-54-SLH-miller-et-al-2006-response-time-in-14-year-olds-with-language-impairment.pdf,2006,SLH
2006-26-JCL-S0305000906007525a.pdf,t,NA,9,=,1.84,<,0.05,0.0989116094254279,"t (9)=1.84, p<0.05",TRUE,TRUE,TRUE,0.5,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JCL/2006-26-JCL-S0305000906007525a.pdf,2006,JCL
2006-27-SLH-hapsburg-davis-2006-auditory-sensitivity-and-the-prelinguistic-vocalizations-of-early-amplified-infants.pdf,t,NA,13,=,-0.53,=,0.03,0.605046510338225,"t(13) = -0.53, p = .03",TRUE,TRUE,FALSE,0.83,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2006-27-SLH-hapsburg-davis-2006-auditory-sensitivity-and-the-prelinguistic-vocalizations-of-early-amplified-infants.pdf,2006,SLH
2007-72-SLH-newman-bernstein-ratner-2007-the-role-of-selected-lexical-factors-on-confrontation-naming-accuracy-speed-and-fluency-in.pdf,F,1,24,=,1.33,=,0.05,0.26016193173669,"F(1, 24) = 1.33, p = .05",TRUE,TRUE,TRUE,0.93,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2007-72-SLH-newman-bernstein-ratner-2007-the-role-of-selected-lexical-factors-on-confrontation-naming-accuracy-speed-and-fluency-in.pdf,2007,SLH
2007-36-APS-S0142716407070336a.pdf,F,1,209,=,5.52,>,0.05,0.0197328814081484,"F (1, 209) = 5.52, p > .05",TRUE,TRUE,FALSE,1,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2007-36-APS-S0142716407070336a.pdf,2007,APS
2007-06-SLH-zhang-formby-effects-of-cueing-in-auditory-temporal-masking.pdf,F,2,1,=,7.2,<,0.01,0.254823595718813,"F(2, 1) = 7.20, p < .01",TRUE,TRUE,FALSE,0.8,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2007-06-SLH-zhang-formby-effects-of-cueing-in-auditory-temporal-masking.pdf,2007,SLH
2007-34-APS-S0142716407070312a.pdf,Chi2,16,NA,=,4.5,<,0.034,0.997732912103678,"2 (16) = 4.50,p < .034",TRUE,TRUE,FALSE,1,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2007-34-APS-S0142716407070312a.pdf,2007,APS
2007-57-SLH-laures-gore-et-al-2007-assessing-cortisol-reactivity-to-a-linguistic-task-as-a-marker-of-stress-in-individuals-with.pdf,F,1,232,=,13.16,=,0.94,3.5168375229411e-4,"F(1, 232) =13.16, p = .94",TRUE,TRUE,FALSE,0.48,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2007-57-SLH-laures-gore-et-al-2007-assessing-cortisol-reactivity-to-a-linguistic-task-as-a-marker-of-stress-in-individuals-with.pdf,2007,SLH
2007-15-BLC-S1366728907002945a.pdf,F,1,7,=,2.9,<,0.05,0.132362192425457,"F(1,7) =2.90, p < .05",TRUE,TRUE,FALSE,1,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/BLC/2007-15-BLC-S1366728907002945a.pdf,2007,BLC
2007-59-SLH-leonard-et-al-lexical-aspect-and-the-use-of-verb-morphology-by-children-with-specific-language-impairment.pdf,F,1,28,=,4.89,=,0.35,0.0353472097911286,"F(1, 28) = 4.89, p = .35",TRUE,TRUE,FALSE,1,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2007-59-SLH-leonard-et-al-lexical-aspect-and-the-use-of-verb-morphology-by-children-with-specific-language-impairment.pdf,2007,SLH
