source,p_comp,computed_p,raw,one_tailed_in_txt,sentence,reported_as,comment,rated
2006-47-SLH-lidestam-beskow-2006-visual-phonemic-ambiguity-and-speechreading.pdf,<,0.051231552990079,"F(1, 23) = 4.23, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-58-SLH-newman-mcgregor-2006-teachers-and-laypersons-discern-quality-differences-between-narratives-produced-by-children-with.pdf,<,0.050955940083194,"F(1, 184) = 3.86, p < .005",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-34-JML-Modeling-the-time-course-of-feature-perception-and-_2006_Journal-of-Memory-a.pdf,<,0.0612654701063315,"F(2, 8) = 4.04,p < .035",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-54-SLH-miller-et-al-2006-response-time-in-14-year-olds-with-language-impairment.pdf,<,0.0614838178589319,"(z = 1.87, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-22-JCL-S030500090600746Xa.pdf,<,0.069599353533269,"X 2(2)=5.33, p<0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-05-JPR-s10936-005-9006-3.pdf,<,0.201282774791,"F (1, 310) = 1.64, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-05-LSP-chen-bond-2007-explaining-language-priming-effects-further-evidence-for-ethnic-affirmation-among-chinese-english.pdf,<,0.878289503023014,"r(235) = .01, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-06-SLH-zhang-formby-effects-of-cueing-in-auditory-temporal-masking.pdf,<,0.254823595718813,"F(2, 1) = 7.20, p < .01",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-25-JML-Proactive-interference-slows-recognition-by-eliminati_2007_Journal-of-Memory.pdf,<,0.111776335551541,"F (2,14) = 2.573, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-36-APS-S0142716407070336a.pdf,>,0.0197328814081484,"F (1, 209) = 5.52, p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-04-LSP-carnaghi-maass-2007-in-group-and-out-group-perspectives-in-the-use-of-derogatory-group-labels-gay-versus-fag.pdf,<,0.0541548034561768,"t(28) = 2.01, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-23-BAL-Hemispheric-differences-in-strong-versus-weak-semantic-primi_2007_Brain-and-.pdf,<,0.0539884727460356,"F (1,92) = 3.81, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-45-JML-The-role-of-noncriterial-recollection-in-estimating_2007_Journal-of-Memory-a.pdf,<,0.0827764780955034,"t(70) = 1.76, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-10-SLH-wheeler-hegland-et-al-submental-semg-and-hyoid-movement-during-mendelsohn-maneuver-effortful-swallow-and-expiratory.pdf,<,0.167684469734045,"F(3, 1) =18.773, p < .000",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-21-JML-Control-of-access-to-memory--The-use-of-task-interf_2008_Journal-of-Memory-a.pdf,<,0.0537443875589433,"t(109) = 1.95, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-77-SLH-proctor-et-al-prevalence-of-stuttering-in-african-american-preschoolers.pdf,<,0.610120154797508,"c2(1, N = 941) = 0.26, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-55-JML-Precategorical-acoustic-storage-and-the-percept_2008_Journal-of-Memory-and-L.pdf,<,0.150438929888034,"F(1, 144) = 2.09,p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-21-SLH-dawes-bishop-maturation-of-visual-and-auditory-temporal-processing-in-school-aged-children.pdf,<,0.25596995752336,"F(1, 1) = 5.53, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-43-SLH-howell-et-al-late-childhood-stuttering.pdf,<,0.0519551653708229,"t(30) = 2.024, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-14-APS-S0142716408080168a.pdf,<,0.557860880055485,"t (20) = -.596, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-10-SLA-S0272263109090342a.pdf,<,0.0530356403059754,"F(1, 123) = 3.816, p < .01",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-00-BAL-A-common-mechanism-in-verb-and-noun-naming-deficits-in-Al_2009_Brain-and-Lan.pdf,<,0.133609281642764,"t(13) = 1.6, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-09-LSP-kang-rubin-2009-reverse-linguistic-stereotyping-measuring-the-effect-of-listener-expectations-on-speech-evaluation.pdf,<,0.0603761735200773,"F(2, 151) = 2.86,p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-34-JML-Onsets-and-codas-in-1-5-year-olds--word-recog_2009_Journal-of-Memory-and-Lan.pdf,<,0.0727710335508396,"t(35) = 1.85, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-77-SLH-rossi-katz-arehart-message-and-talker-identification-in-older-adults-effects-of-task-distinctiveness-of-the-talkers.pdf,<,0.0867822948516792,"F(2, 40) = 2.6, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-42-SLH-johnson-de-villiers-syntactic-frames-in-fast-mapping-verbs-effect-of-age-dialect-and-clinical-status.pdf,<,0.0875472189898683,"F(1, 517) = 2.93,p < .02",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-09-LLT-13_03_hincksedlund.pdf,<,0.745209561779319,"t(18) = .330, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-02-APS-S0142716409990178a.pdf,<,0.0504211354535771,"F (2, 28) = 3.33, p <.05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-40-SLH-hirata-kelly-effects-of-lips-and-hands-on-auditory-learning-of-second-language-speech-sounds.pdf,<,0.0542747394311686,"F(3, 56) = 2.70, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-15-SLA-S0272263110000276a.pdf,<,0.239662600759672,"2(3, N = 176) = 4.21, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-24-APS-S0142716410000184a.pdf,<,0.050965849586296,"F (1, 15) = 4.50, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-11-SLH-dale-et-al-the-etiology-of-diverse-receptive-language-skills-at-12-years.pdf,<,0.83579469283635,"F (4, 4312) = 0.362, p < .01",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-32-SLH-green-et-al-lip-movement-exaggerations-during-infant-directed-speech.pdf,<,0.0569398499365917,"t(24) = 2.0,p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-58-JML-What-and-where-in-speech-recognition--Geminates-and_2010_Journal-of-Memory-a.pdf,<,0.061969985480331,"F(1, 1274) = 3.49, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-54-JML-Why-brother-and-sister-are-not-just-siblings--Repair-_2011_Journal-of-Memory.pdf,<,0.0506079283216595,"F(3, 126) =2.667, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-02-JML-Benefits-and-costs-of-lexical-decomposition-and-semantic-i_2011_Journal-of-M.pdf,<,0.0548578994076736,"z = 1.92, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-81-SLH-roup-dichotic-word-recognition-in-noise-and-the-right-ear-advantage.pdf,<,0.0937691759201585,"t(67) = -1.7, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-08-SLH-billiet-bellis-the-relationship-between-brainstem-temporal-processing-and-performance-on-tests-of-central-auditory.pdf,<,0.0619356798210946,"F(1, 27) = 3.793, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-17-SLA-S0272263111000325a.pdf,<,0.0616415589685663,"F(1, 31) = 3.76, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-10-SLH-blackman-hall-reducing-the-effects-of-background-noise-during-auditory-functional-magnetic-resonance-imaging-of-speech.pdf,<,0.0898570604525017,"F(1, 7) = 3.87, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-15-BAL-Hemispheric-asymmetries-in-processing-L1-and-L2-idioms--Eff_2011_Brain-and-L.pdf,<,0.0753155882976595,"t(37) = 1.83, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2012-49-BLC-S1366728911000691a.pdf,<,0.674485453696499,"z = -0.42,p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2012-61-BLC-S1366728912000193a.pdf,<,0.0509792221278985,"F(1,23) = 4.24, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2012-69-SLH-yoon-et-al-speech-recognition-and-acoustic-features-in-combined-electric-and-acoustic-stimulation.pdf,>,0.048630852079355,"F(1, 8) = 5.4, p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2012-55-BAL-Neural-dissociation-of-phonological-and-visual-attention-span-_2012_Brain-an.pdf,<,0.101679789092717,"t(19) = 1.72, p < 0.05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2012-27-SLH-lovett-et-al-the-developmental-trajectory-of-spatial-listening-skills-in-normal-hearing-children.pdf,>,0.0173126380510331,"(z = -2.38, p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2012-04-SLH-bouton-et-al-perception-of-speech-features-by-french-speaking-children-with-cochlear-implants.pdf,<,0.174308192211944,"t(24) = 1.4, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2012-50-BAL-Musical-training-during-early-childhood-enhances-the-neural_2012_Brain-and-L.pdf,<,0.0546250449629831,"t(30) = 2.00,p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2013-42-LSP-struthers-et-al-2014-the-role-of-victim-embarrassment-in-explaining-why-apologies-affect-reported-(but-not-actual).pdf,<,0.103137915913297,"t(38) = 1.67, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2013-01-LaS-astruc-et-al-2012-tonal-targets-in-early-child-english-spanish-and-catalan.pdf,<,0.0627596409622366,"F(3, 313) = 2.460, p < 0.001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2013-44-JCL-S0305000912000499a.pdf,<,0.055043936378878,"x2 (3,n=24)=7.60, p<.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2013-90-BAL-Neuronal-correlates-of-decisions-to-speak-and-act--Spontaneous-_2013_Brain-a.pdf,<,0.109117441499711,"F(1,5) = 3.79, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2013-26-BAL-Deduction-electrified--ERPs-elicited-by-the-processing-of-w_2013_Brain-and-L.pdf,<,0.0531446176925402,"F(2.48, 42.15) = 2.94, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2013-51-BAL-ERP-evidence-for-conceptual-mappings-and-comparison-processes_2013_Brain-and.pdf,<,0.0588834162114373,"F(1, 17) = 4.10, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2013-09-APS-S0142716411000683a.pdf,<,0.0535375270495466,"t (31) = 2.007,p < .003",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2014-06-APS-S0142716412000355a.pdf,<,0.0925311948986432,"t (8) = 1.91, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2014-29-LAB-lab.4.2.03lop.pdf,<,0.0789523836534501,"F(1,57) = 3.20, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2014-26-JCL-S030500091300010Xa.pdf,>,0.0466171215855458,"t(42.16)=2.05, p>.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2014-04-APS-S0142716412000288a.pdf,<,0.0508937582021991,"F (1, 119) =3.89, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2014-23-JCL-S0305000913000068a.pdf,<,0.0624753749398604,"t(25)=1.95, p<.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2014-22-LAB-lab.4.4.02ran.pdf,>,0.0419353175301354,"t(18) = 2.19,p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2014-04-BLC-S1366728913000047a.pdf,<,0.0845206445489824,"X2 (4) = 8.2,p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2015-10-LCN-01-Reversing expectations during discourse comprehension.pdf,<,0.054487480876026,"F(1, 19) = 4.2, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2015-44-JML-The-advantage-of-starting-big--Learning-from-unsegmented-_2015_Journal-of-Me.pdf,<,0.0734539113974526,"(Z = 1.79,p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2015-55-BAL-Neurophysiological-sensitivity-for-impaired-phonological-pro_2015_Brain-and-.pdf,<,0.0522786599633044,"F(2, 100) = 3.04, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2015-36-BAL-Hemispheric-specialization-for-visual-words-is-shaped-by-atte_2015_Brain-and.pdf,<,0.0754445249388749,"t(15) = 1.91, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2015-41-APS-S0142716414000125a.pdf,<,0.0529969887867887,"r (10) = .57, p < 0.01",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2015-14-JML-Episodic-memory-does-not-add-up--Verbatim-gist-superposi_2015_Journal-of-Mem.pdf,<,0.056467844381524,"t(69) = 1.94,p < .03",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2015-87-BAL-The-effect-of-age-of-acquisition--socioeducational-status--and_2015_Brain-an.pdf,<,0.0525930740010886,"F(1,48) = 3.95, p < 0.05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2016-08-APS-S0142716415000041a.pdf,<,0.119742077015862,"F (1, 31) = 2.56, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2016-39-LCN-03-Words speak louder than pictures for action concepts_ an eyetracking investigation of the pict.pdf,<,0.999999998841952,"1(34) = 4.9, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2016-38-BAL-Predictive-coding-of-phonological-rules-in-auditory-cortex-_2016_Brain-and-L.pdf,<,0.0503509602324566,"F(1, 14) = 4.584, p < 0.05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2016-29-APS-S0142716415000314a.pdf,<,0.400908386520899,"z = 0.840, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2016-26-JML-Modeling-confidence-and-response-time-in-associa_2016_Journal-of-Memory-and-.pdf,>,1.2948725868207e-6,"t(33) = 5.9, p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2016-11-JPR-s10936-016-9422-6.pdf,<,0.0860831723477518,"F(20, 39.3) = 1.66, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2016-03-APS-S0142716414000563a.pdf,<,0.0737833734635257,"F (1, 56) = 3.32, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2017-04-SLA-S0272263116000012a.pdf,<,0.0542754424704921,"F(1, 71) =3.83, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2017-39-APS-S0142716417000078a.pdf,<,0.969567135032126,"U (31) = 18, p < .0001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2017-61-LCN-06-Phonological and syntactic competition effects in spoken word recognition_ evidence from corpu.pdf,<,0.0871928580230452,"t(15) = 1.83, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2017-95-BAL-The-right-hemisphere-s-contribution-to-discourse-processing_2017_Brain-and-L.pdf,<,0.056133213319545,"(z = 1.91, p < 0.001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2017-37-JML-Is-the-Levels-of-Processing-effect-language-l_2017_Journal-of-Memory-and-Lan.pdf,<,0.0677195031399899,"t(47) = 1.87, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2017-20-BLC-S136672891500084Xa.pdf,<,0.100382933260773,",z = 1.643, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2017-28-APS-S014271641600045Xa.pdf,>,0.00163524431992987,"F (1, 79) = 10.64, p > .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2018-02-LAB-lab.15012.aza.pdf,<,0.141561753983371,"(z = 1.47, p < .001",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2018-70-LCN-07-Processing of non-canonical word orders in _in_felicitous contexts_ evidence from event-relate.pdf,<,0.0518823355623759,"F(1, 15) = 4.46, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2018-23-LSP-pan-et-al-2017-what-you-say-is-what-you-get-how-self-disclosure-in-support-seeking-affects-language-use-in-support.pdf,<,0.201111512761209,"t(524) = 1.28, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2018-27-JML-Linguistic-expectation-management-in-online-discourse-proc_2018_Journal-of-M.pdf,<,0.132655465080122,"X2 (2) = 4.04, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2018-35-APS-S0142716418000103a.pdf,<,0.0651659068257813,"2 (6) =11.860, p < .001",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2018-22-JPR-s10936-018-9574-7.pdf,<,0.0699916117015435,"F(1, 44) = 3.449, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2018-12-LCN-01-Effects of probabilistic phonology on the perception of words and nonwords.pdf,<,0.0887965523000651,"F(1, 20) = 3.2, p < 0.001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2019-58-BAL-Test-retest-reliability-in-an-fMRI-study-of-naming-in-d_2019_Brain-and-Langu.pdf,<,0.724220019681233,"t(14) = 0.36, p < .01",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2019-03-JML-Are-the-effects-of-divided-attention-on-memory-encoding-proc_2019_Journal-of.pdf,<,0.0515260832849375,"t(72) = 1.98, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2019-09-LSP-dewaele-2019-the-effect-of-classroom-emotions-attitudes-toward-english-and-teacher-behavior-on-willingness-to.pdf,<,0.935441952506118,"Z = .081, p < .002",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2019-32-JPR-s10936-019-09652-z.pdf,<,0.857937701693484,"z = .179, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2019-60-LCN-07-Look and listen_ The online processing of Korean case by native and non-native speakers.pdf,<,0.0511761190432773,"z = 1.95, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
